hashtag,link,tweet
@policia,https://twitter.com/kikefoz/status/1041298286546698242,@Leonard24198 @joncme1 @mightymayte @cubells_jordi @lasvocesdelpue @policia @guardiacivil @interiorgob @jusapol Hables de las cargas policiales a obreros en huelga?
@policia,https://twitter.com/mimariban/status/1041298089422794752,"@fundjoseantonio @policia @guardiacivil Una buena ""mili"" y se avergonzarían de su fealdad. 17 años desaprovechados, Aznar!!"
@policia,https://twitter.com/9Balas9/status/1041297965070082048,"@Leonard24198 @324cat @policia @guardiacivil @jusapol Mira listillo fascista. Yo no voy al pais basco a pedir que hablen español porque ni vivo ahi ni se en que condiciones se encuentran. Asi que no vengas del otro puto lado a decir como tenemos que hacer las cosas. No hay mas, a que yo no voto el presidente de galicia? Pues eso."
@policia,https://twitter.com/inigopascual21/status/1041297926021160960,"@interiorgob @justiciagob @Defensagob @desdelamoncloa @sanchezcastejon @Albert_Rivera🇹🇷 @policia @guardiacivil @mossos 

Iegalizacion del PP!
Ilegalizacion de C's!
#HayQueEcharlos‼️
#MafiaPP #PPMafia
#CartelDelPP #NarcoEstado
COCAINA

#LlibertatPresosPoítics🎗️
#Altsasu🎗️ https://t.co/zkP37xExor"
@policia,https://twitter.com/Leonard24198/status/1041297855481356289,"@LauraFangs @324cat @policia @guardiacivil @jusapol Yo no hablo de política. Hablo de derechos de las personas. El derecho a la libre manifestación es un derecho fundamental y hay que respetarlo. Si no lo haces eres un fascista, vamos lo mismo que Franco, del que parece, tanto habéis aprendido."
@policia,https://twitter.com/octuple_sendero/status/1041297850167164928,@NavarraxESP @AlfrArizmUban Y no podría la @policia identificar a los agresores?
@policia,https://twitter.com/CryptoNoxia/status/1041297823784992768,"@guardiacivil @policia Lo siento por la Guardia Civil y la Policía Nacional por tener unos compañeros tan ineptos y traidores como los @mossos, lamentablemente la única policía política en Europa. https://t.co/VMDD4Y5q2g"
@policia,https://twitter.com/9Balas9/status/1041297659250831361,"@Leonard24198 @324cat @policia @guardiacivil @jusapol El problema es que ya puede hacerlo, lo que piden esos manifestantes es que se deje de hacer en catalan"
@policia,https://twitter.com/DaniSoulBlack/status/1041297637482397696,"@BatshuRoy @albertmones @policia Por mucho que digáis todo va a seguir igual, la independencia está prohibida."
@policia,https://twitter.com/triloran/status/1041297563985629185,@SINDO56027912 @cantalapiedraxx @NarSpaniaTietra @policia @UnionGC @guardiacivil Todos ellos pelearían por aumentar su territorio.
@policia,https://twitter.com/BatshuRoy/status/1041297303678672897,"@DaniSoulBlack @albertmones @policia JAJAJAJAJA que si, ahora ven con el cuento de la constitución, golpe de estado y tal ;D La constitución territorial la rompió el tribunal constitucional dándole la patada al Estatut, ese es el único golpe de estado permanente que existe. Sigan mamando 👌"
@policia,https://twitter.com/Leonard24198/status/1041297245889613824,@joncme1 @mightymayte @cubells_jordi @lasvocesdelpue @policia @guardiacivil @interiorgob @jusapol Y quien te creed que eres para vejar a una persona por manifestarse por sus derechos laborales? Sois unos fascistas...no crees?
@policia,https://twitter.com/DaniSoulBlack/status/1041296773480935428,"@BatshuRoy @albertmones @policia Se que no estáis familiarizados con las leyes, pero si cometes un crimen vas a prisión."
@policia,https://twitter.com/Leonard24198/status/1041296750982717441,"@9Balas9 @324cat @policia @guardiacivil @jusapol Es legimito que nos manifestemos donde queramos, otro ejemplo más de lo fascista que eres, y ahora ya te lo digo a ti. Porque no eres nadie para decirme donde puedo o no puedo manifestarse. No se que educación te han dado, pero está claro que ha fallado. Un saludo."
@policia,https://twitter.com/ana_cre/status/1041296710478299136,"@CarlosJ58563305 @hermanntertsch @ivanedlm @anadebande @ppdegalicia @GPPopular @jaimedeolano @elenabastidasb @joaquintorrevie @TeresaPalTous @MoroMjesus @mcduenas @PPopular @BarrachinaM @marianorajoy @vox_es @numer344 @vox_bilbao @zoidoJI @dlacalle @mdcospedal @CiudadanosCs @guardiacivil @policia @DefensorPuebloE @jm788700 @europapress @jespanolito @Q_E_D___ @CCivicaCatalana @martinezmaillo @monasterioR @Santi_ABASCAL @jusapol @Ortega_Smith @Alternativa_VOX @Intereconomia @Gato_directo @josele_sj @vox_malaga @JosPastr @MasRazonqUnSant @JupolNacional @pablocasado_ @voxnoticias_es @_23Sergio @ElConductorMad @ELUpedia @LosantosPosts @U2 El 🐶 responderá ""en directo"" en la Moncloa a las preguntas de Ana Pastor García este domingo en El Objetivo 
https://t.co/6fMvNYbWdS"
@policia,https://twitter.com/Cyndi_Pauper/status/1041296605129920517,@soysori @policia Ojalá a morirse.
